"","state","year","total_deads","poblation","ratio_deads"
"1","Alabama","2015",17,4854803,3.50168688616201e-06
"2","Alabama","2016",23,4866824,4.72587461556037e-06
"3","Alabama","2017",21,4877989,4.30505275842155e-06
"4","Alabama","2018",12,4891628,2.45317100973336e-06
"5","Alabama","2019",11,4907965,2.24125477667424e-06
"6","Alabama","2020",11,4921532,2.23507639491118e-06
"7","Alaska","2015",4,738430,5.41689801335265e-06
"8","Alaska","2016",6,742575,8.07999192000808e-06
"9","Alaska","2017",7,740983,9.44691038795762e-06
"10","Alaska","2018",7,736624,9.50281283259845e-06
"11","Alaska","2019",6,733603,8.17881061009838e-06
"12","Alaska","2020",6,731158,8.20616063832988e-06
"13","Arizona","2015",42,6832810,6.14681221927728e-06
"14","Arizona","2016",45,6944767,6.47969903093941e-06
"15","Arizona","2017",39,7048088,5.53341558731957e-06
"16","Arizona","2018",49,7164228,6.83953665349567e-06
"17","Arizona","2019",31,7291843,4.251325762225e-06
"18","Arizona","2020",16,7421401,2.1559271625398e-06
"19","Arkansas","2015",4,2979732,1.34240260533498e-06
"20","Arkansas","2016",12,2991815,4.01094319000339e-06
"21","Arkansas","2017",10,3003855,3.32905549701966e-06
"22","Arkansas","2018",21,3012161,6.97173889443493e-06
"23","Arkansas","2019",17,3020985,5.62730367744295e-06
"24","Arkansas","2020",9,3030522,2.96978540330676e-06
"25","California","2015",182,38904296,4.67814659851447e-06
"26","California","2016",127,39149186,3.24400103746729e-06
"27","California","2017",143,39337785,3.63518179785669e-06
"28","California","2018",96,39437463,2.43423366254569e-06
"29","California","2019",111,39437610,2.81457218122498e-06
"30","California","2020",42,39368078,1.06685421625104e-06
"31","Colorado","2015",28,5454328,5.13353799038122e-06
"32","Colorado","2016",27,5543844,4.87026691227242e-06
"33","Colorado","2017",27,5617421,4.80647613913929e-06
"34","Colorado","2018",36,5697155,6.31894340245263e-06
"35","Colorado","2019",32,5758486,5.55701620182805e-06
"36","Colorado","2020",18,5807719,3.09932350377145e-06
"37","Connecticut","2015",2,3588561,5.57326460383424e-07
"38","Connecticut","2016",4,3579830,1.11737149529447e-06
"39","Connecticut","2017",5,3575324,1.39847465572351e-06
"40","Connecticut","2018",1,3574561,2.79754632806658e-07
"41","Connecticut","2019",4,3566022,1.12169807140842e-06
"42","Connecticut","2020",4,3557006,1.12454125745079e-06
"43","Delaware","2015",3,942065,3.18449363897396e-06
"44","Delaware","2016",1,949989,1.05264376745415e-06
"45","Delaware","2017",5,957942,5.21952268508949e-06
"46","Delaware","2020",1,986809,1.01336732842931e-06
"47","District of Columbia","2015",4,677014,5.9082973173376e-06
"48","District of Columbia","2016",5,687576,7.27192339465019e-06
"49","District of Columbia","2017",2,697079,2.86911526527122e-06
"50","District of Columbia","2018",1,704147,1.42015800677983e-06
"51","District of Columbia","2019",1,708253,1.4119248347695e-06
"52","Florida","2015",61,20219111,3.0169476788569e-06
"53","Florida","2016",55,20627237,2.66637746975031e-06
"54","Florida","2017",56,20977089,2.66957917754937e-06
"55","Florida","2018",62,21254926,2.91697087065841e-06
"56","Florida","2019",57,21492056,2.65214272659628e-06
"57","Florida","2020",33,21733312,1.51840639843573e-06
"58","Georgia","2015",27,10183353,2.65138604151305e-06
"59","Georgia","2016",25,10308442,2.42519674651126e-06
"60","Georgia","2017",26,10417031,2.4959127029573e-06
"61","Georgia","2018",39,10519389,3.70743966213247e-06
"62","Georgia","2019",29,10628020,2.72863618999588e-06
"63","Georgia","2020",15,10710017,1.4005580009817e-06
