Country,ISO_Code,Level,GDLCODE,Region,"2015","2016","2017","2018","2019"
"United States","USA","National","USAt","Total",0.893,0.896,0.899,0.899,0.899
"United States","USA","Subnat","USAr101","Alabama",0.872,0.875,0.878,0.878,0.878
"United States","USA","Subnat","USAr102","Alaska",0.908,0.911,0.914,0.914,0.914
"United States","USA","Subnat","USAr103","Arizona",0.883,0.886,0.889,0.889,0.889
"United States","USA","Subnat","USAr104","Arkansas",0.866,0.869,0.872,0.872,0.872
"United States","USA","Subnat","USAr105","California",0.872,0.875,0.878,0.878,0.878
"United States","USA","Subnat","USAr106","Colorado",0.932,0.935,0.939,0.939,0.939
"United States","USA","Subnat","USAr107","Connecticut",0.923,0.926,0.929,0.929,0.929
"United States","USA","Subnat","USAr108","Delaware",0.905,0.908,0.911,0.911,0.911
"United States","USA","Subnat","USAr109","District of Columbia",0.967,0.970,0.973,0.973,0.973
"United States","USA","Subnat","USAr110","Florida",0.891,0.894,0.897,0.897,0.897
"United States","USA","Subnat","USAr111","Georgia",0.888,0.891,0.894,0.894,0.894
"United States","USA","Subnat","USAr112","Hawaii",0.910,0.913,0.916,0.916,0.916
"United States","USA","Subnat","USAr113","Idaho",0.893,0.896,0.899,0.899,0.899
"United States","USA","Subnat","USAr114","Illinois",0.905,0.908,0.911,0.911,0.911
"United States","USA","Subnat","USAr115","Indiana",0.888,0.891,0.894,0.894,0.894
"United States","USA","Subnat","USAr116","Iowa",0.907,0.910,0.913,0.913,0.913
"United States","USA","Subnat","USAr117","Kansas",0.909,0.912,0.915,0.915,0.915
"United States","USA","Subnat","USAr118","Kentucky",0.867,0.870,0.873,0.873,0.873
"United States","USA","Subnat","USAr119","Louisiana",0.866,0.869,0.872,0.872,0.872
"United States","USA","Subnat","USAr120","Maine",0.914,0.917,0.921,0.921,0.921
"United States","USA","Subnat","USAr121","Maryland",0.925,0.928,0.932,0.932,0.932
"United States","USA","Subnat","USAr122","Massachusetts",0.931,0.934,0.937,0.937,0.937
"United States","USA","Subnat","USAr123","Michigan",0.902,0.905,0.909,0.909,0.909
"United States","USA","Subnat","USAr124","Minnesota",0.928,0.931,0.934,0.934,0.934
"United States","USA","Subnat","USAr125","Mississippi",0.857,0.860,0.863,0.863,0.863
"United States","USA","Subnat","USAr126","Missouri",0.897,0.899,0.903,0.903,0.903
"United States","USA","Subnat","USAr127","Montana",0.920,0.922,0.926,0.926,0.926
"United States","USA","Subnat","USAr128","Nebraska",0.908,0.911,0.914,0.914,0.914
"United States","USA","Subnat","USAr129","Nevada",0.875,0.878,0.881,0.881,0.881
"United States","USA","Subnat","USAr130","New Hampshire",0.933,0.936,0.939,0.939,0.939
"United States","USA","Subnat","USAr131","New Jersey",0.918,0.921,0.924,0.924,0.924
"United States","USA","Subnat","USAr132","New Mexico",0.871,0.873,0.877,0.877,0.877
"United States","USA","Subnat","USAr133","New York",0.898,0.901,0.904,0.904,0.904
"United States","USA","Subnat","USAr134","North Carolina",0.888,0.891,0.894,0.894,0.894
"United States","USA","Subnat","USAr135","North Dakota",0.919,0.922,0.925,0.925,0.925
"United States","USA","Subnat","USAr136","Ohio",0.898,0.901,0.904,0.904,0.904
"United States","USA","Subnat","USAr137","Oklahoma",0.883,0.886,0.889,0.889,0.889
"United States","USA","Subnat","USAr138","Oregon",0.911,0.914,0.917,0.917,0.917
"United States","USA","Subnat","USAr139","Pennsylvania",0.903,0.905,0.909,0.909,0.909
"United States","USA","Subnat","USAr140","Rhode Island",0.898,0.901,0.904,0.904,0.904
"United States","USA","Subnat","USAr141","South Carolina",0.884,0.887,0.890,0.890,0.890
"United States","USA","Subnat","USAr142","South Dakota",0.908,0.910,0.914,0.914,0.914
"United States","USA","Subnat","USAr143","Tennessee",0.880,0.883,0.886,0.886,0.886
"United States","USA","Subnat","USAr144","Texas",0.863,0.866,0.869,0.869,0.869
"United States","USA","Subnat","USAr145","Utah",0.917,0.920,0.923,0.923,0.923
"United States","USA","Subnat","USAr146","Vermont",0.930,0.933,0.936,0.936,0.936
"United States","USA","Subnat","USAr147","Virginia",0.916,0.919,0.922,0.922,0.922
"United States","USA","Subnat","USAr148","Washington",0.918,0.921,0.924,0.924,0.924
"United States","USA","Subnat","USAr149","West Virginia",0.865,0.867,0.871,0.871,0.871
"United States","USA","Subnat","USAr150","Wisconsin",0.909,0.912,0.915,0.915,0.915
"United States","USA","Subnat","USAr151","Wyoming",0.915,0.918,0.921,0.921,0.921
