Country,ISO_Code,Level,GDLCODE,Region,"2015","2016","2017","2018","2019"
"United States","USA","National","USAt","Total",0.921,0.922,0.924,0.926,0.926
"United States","USA","Subnat","USAr101","Alabama",0.880,0.882,0.884,0.885,0.886
"United States","USA","Subnat","USAr102","Alaska",0.934,0.935,0.936,0.936,0.936
"United States","USA","Subnat","USAr103","Arizona",0.908,0.909,0.911,0.912,0.913
"United States","USA","Subnat","USAr104","Arkansas",0.881,0.882,0.884,0.885,0.886
"United States","USA","Subnat","USAr105","California",0.930,0.932,0.934,0.935,0.936
"United States","USA","Subnat","USAr106","Colorado",0.942,0.944,0.945,0.947,0.948
"United States","USA","Subnat","USAr107","Connecticut",0.952,0.953,0.954,0.954,0.954
"United States","USA","Subnat","USAr108","Delaware",0.933,0.934,0.936,0.936,0.936
"United States","USA","Subnat","USAr109","District of Columbia",0.944,0.945,0.946,0.946,0.946
"United States","USA","Subnat","USAr110","Florida",0.910,0.912,0.914,0.915,0.916
"United States","USA","Subnat","USAr111","Georgia",0.904,0.906,0.907,0.909,0.910
"United States","USA","Subnat","USAr112","Hawaii",0.939,0.941,0.943,0.945,0.945
"United States","USA","Subnat","USAr113","Idaho",0.907,0.908,0.910,0.911,0.912
"United States","USA","Subnat","USAr114","Illinois",0.929,0.930,0.932,0.933,0.934
"United States","USA","Subnat","USAr115","Indiana",0.907,0.908,0.910,0.912,0.912
"United States","USA","Subnat","USAr116","Iowa",0.930,0.931,0.933,0.934,0.935
"United States","USA","Subnat","USAr117","Kansas",0.922,0.923,0.925,0.926,0.927
"United States","USA","Subnat","USAr118","Kentucky",0.884,0.886,0.888,0.889,0.890
"United States","USA","Subnat","USAr119","Louisiana",0.889,0.889,0.891,0.893,0.893
"United States","USA","Subnat","USAr120","Maine",0.917,0.918,0.920,0.921,0.922
"United States","USA","Subnat","USAr121","Maryland",0.936,0.937,0.939,0.940,0.941
"United States","USA","Subnat","USAr122","Massachusetts",0.953,0.954,0.956,0.956,0.956
"United States","USA","Subnat","USAr123","Michigan",0.912,0.914,0.916,0.917,0.918
"United States","USA","Subnat","USAr124","Minnesota",0.947,0.949,0.950,0.952,0.953
"United States","USA","Subnat","USAr125","Mississippi",0.866,0.867,0.869,0.870,0.871
"United States","USA","Subnat","USAr126","Missouri",0.907,0.909,0.910,0.912,0.913
"United States","USA","Subnat","USAr127","Montana",0.916,0.917,0.919,0.920,0.921
"United States","USA","Subnat","USAr128","Nebraska",0.933,0.935,0.936,0.938,0.939
"United States","USA","Subnat","USAr129","Nevada",0.904,0.905,0.907,0.908,0.909
"United States","USA","Subnat","USAr130","New Hampshire",0.942,0.944,0.946,0.948,0.948
"United States","USA","Subnat","USAr131","New Jersey",0.942,0.944,0.946,0.947,0.948
"United States","USA","Subnat","USAr132","New Mexico",0.902,0.902,0.904,0.905,0.906
"United States","USA","Subnat","USAr133","New York",0.942,0.943,0.944,0.944,0.944
"United States","USA","Subnat","USAr134","North Carolina",0.907,0.908,0.910,0.911,0.912
"United States","USA","Subnat","USAr135","North Dakota",0.944,0.945,0.946,0.946,0.946
"United States","USA","Subnat","USAr136","Ohio",0.914,0.915,0.917,0.918,0.919
"United States","USA","Subnat","USAr137","Oklahoma",0.897,0.897,0.899,0.900,0.901
"United States","USA","Subnat","USAr138","Oregon",0.930,0.932,0.934,0.935,0.936
"United States","USA","Subnat","USAr139","Pennsylvania",0.922,0.924,0.926,0.927,0.928
"United States","USA","Subnat","USAr140","Rhode Island",0.925,0.926,0.928,0.930,0.930
"United States","USA","Subnat","USAr141","South Carolina",0.893,0.894,0.896,0.897,0.898
"United States","USA","Subnat","USAr142","South Dakota",0.927,0.928,0.930,0.931,0.932
"United States","USA","Subnat","USAr143","Tennessee",0.895,0.897,0.898,0.900,0.901
"United States","USA","Subnat","USAr144","Texas",0.912,0.913,0.915,0.916,0.917
"United States","USA","Subnat","USAr145","Utah",0.930,0.931,0.933,0.934,0.935
"United States","USA","Subnat","USAr146","Vermont",0.935,0.936,0.938,0.939,0.940
"United States","USA","Subnat","USAr147","Virginia",0.931,0.932,0.934,0.935,0.936
"United States","USA","Subnat","USAr148","Washington",0.940,0.942,0.944,0.945,0.946
"United States","USA","Subnat","USAr149","West Virginia",0.877,0.878,0.880,0.881,0.882
"United States","USA","Subnat","USAr150","Wisconsin",0.929,0.930,0.932,0.933,0.934
"United States","USA","Subnat","USAr151","Wyoming",0.935,0.934,0.936,0.937,0.938
