"","state","year","total of guns","poblation","ratio"
"1","Alabama","2015",737509,4854803,0.151913270219204
"2","Alabama","2016",616947,4866824,0.126765833323745
"3","Alabama","2017",477345,4877989,0.0978569242366065
"4","Alabama","2018",474294,4891628,0.0969603575742064
"5","Alabama","2019",690084,4907965,0.140604914664224
"6","Alabama","2020",1085475,4921532,0.220556322706019
"7","Alaska","2015",85621,738430,0.115950056200317
"8","Alaska","2016",87647,742575,0.118031175302158
"9","Alaska","2017",80839,740983,0.109096969836015
"10","Alaska","2018",78761,736624,0.106921577358327
"11","Alaska","2019",76923,733603,0.104856441426766
"12","Alaska","2020",98952,731158,0.135336001247336
"13","Arizona","2015",331442,6832810,0.0485074222757548
"14","Arizona","2016",416279,6944767,0.0599413918422317
"15","Arizona","2017",384930,7048088,0.0546148118468441
"16","Arizona","2018",377838,7164228,0.0527395275527245
"17","Arizona","2019",372912,7291843,0.0511409804078338
"18","Arizona","2020",665458,7421401,0.0896674361080879
"19","Arkansas","2015",257346,2979732,0.0863654852181337
"20","Arkansas","2016",266014,2991815,0.0889139201454635
"21","Arkansas","2017",237629,3003855,0.0791080128701286
"22","Arkansas","2018",248439,3012161,0.0824786590092628
"23","Arkansas","2019",221344,3020985,0.0732688179517608
"24","Arkansas","2020",324741,3030522,0.107156786850582
"25","California","2015",1761079,38904296,0.0452669545800289
"26","California","2016",2377167,39149186,0.0607207260963229
"27","California","2017",1570110,39337785,0.0399135335149145
"28","California","2018",1297132,39437463,0.0328908581163043
"29","California","2019",1240632,39437610,0.0314580929219595
"30","California","2020",1601054,39368078,0.0406688383415619
"31","Colorado","2015",454062,5454328,0.083248018821017
"32","Colorado","2016",540514,5543844,0.0974980536970377
"33","Colorado","2017",496995,5617421,0.0884738743989457
"34","Colorado","2018",524770,5697155,0.0921108869251407
"35","Colorado","2019",469535,5758486,0.0815379250726667
"36","Colorado","2020",680507,5807719,0.117172852198944
"37","Connecticut","2015",307750,3588561,0.0857586090914993
"38","Connecticut","2016",317692,3579830,0.0887449962707726
"39","Connecticut","2017",181779,3575324,0.0508426648885528
"40","Connecticut","2018",177690,3574561,0.049709600703415
"41","Connecticut","2019",172935,3566022,0.0484952139947538
"42","Connecticut","2020",219227,3557006,0.061632451561791
"43","Delaware","2015",50416,942065,0.053516477100837
"44","Delaware","2016",59430,949989,0.0625586190998001
"45","Delaware","2017",50639,957942,0.0528622818500494
"46","Delaware","2018",47723,966985,0.0493523684441848
"47","Delaware","2019",46427,976668,0.0475361125786859
"48","Delaware","2020",77057,986809,0.0780870462267774
"49","District of Columbia","2015",742,677014,0.00109598915236613
"50","District of Columbia","2016",875,687576,0.00127258659406378
"51","District of Columbia","2017",1540,697079,0.00220921875425884
"52","District of Columbia","2018",3244,704147,0.00460699257399378
"53","District of Columbia","2019",5926,708253,0.00836706657084403
"54","District of Columbia","2020",11485,712816,0.0161121523647056
"55","Florida","2015",1147082,20219111,0.0567325635632546
"56","Florida","2016",1435340,20627237,0.0695846952260257
"57","Florida","2017",1276549,20977089,0.0608544398128835
"58","Florida","2018",1203145,21254926,0.0566054664222308
"59","Florida","2019",1195539,21492056,0.0556270186528455
"60","Florida","2020",1912204,21733312,0.0879849329913453
"61","Georgia","2015",566946,10183353,0.0556738040996909
"62","Georgia","2016",612985,10308442,0.0594643691064081
"63","Georgia","2017",541655,10417031,0.0519970613507822
"64","Georgia","2018",549532,10519389,0.0522399162156661
"65","Georgia","2019",539113,10628020,0.0507256290447327
"66","Georgia","2020",904035,10710017,0.0844102301611659
"67","Hawaii","2015",15290,1422999,0.0107449126808944
"68","Hawaii","2016",16681,1428885,0.0116741375268129
"69","Hawaii","2017",12742,1425763,0.00893696918772615
"70","Hawaii","2018",14088,1423102,0.00989950123041075
"71","Hawaii","2019",12666,1415615,0.00894734797243601
"72","Hawaii","2020",20102,1407006,0.0142870748241301
"73","Idaho","2015",136946,1652495,0.0828722628510222
"74","Idaho","2016",156343,1684036,0.0928382766164144
"75","Idaho","2017",182099,1719745,0.105887210022416
"76","Idaho","2018",207320,1752074,0.118328335447019
"77","Idaho","2019",209275,1789060,0.116974835947369
"78","Idaho","2020",281284,1826913,0.153966828195979
"79","Illinois","2015",1247398,12859585,0.0970014195636951
"80","Illinois","2016",1924070,12821709,0.150063458779169
"81","Illinois","2017",1601087,12779893,0.125281721842272
"82","Illinois","2018",2831447,12724685,0.222516078001145
"83","Illinois","2019",4949570,12667017,0.390744719139479
"84","Illinois","2020",7455065,12587530,0.592257972771465
