state,year,poblation,hdi,gp_ratio,income_index,educational_index
Alabama,2015,4854803,0.88,0.151913270219204,0.981,0.918
Alaska,2015,738430,0.934,0.115950056200317,0.964,0.911
Arizona,2015,6832810,0.908,0.0485074222757548,0.955,0.909
Arkansas,2015,2979732,0.881,0.0863654852181337,0.986,0.872
California,2015,38904296,0.93,0.0452669545800289,0.973,0.932
Colorado,2015,5454328,0.942,0.083248018821017,0.952,0.883
Connecticut,2015,3588561,0.952,0.0857586090914993,0.924,0.883
Delaware,2015,942065,0.933,0.053516477100837,0.955,0.909
District of Columbia,2015,677014,0.944,0.0010959891523661,0.965,0.907
Florida,2015,20219111,0.91,0.0567325635632546,0.966,0.903
Georgia,2015,10183353,0.904,0.0556738040996909,0.986,0.872
Hawaii,2015,1422999,0.939,0.0107449126808944,0.978,0.863
Idaho,2015,1652495,0.907,0.0828722628510222,0.955,0.898
Illinois,2015,12859585,0.929,0.0970014195636951,0.965,0.907
Indiana,2015,6611442,0.907,0.162886855847786,0.946,0.866
Iowa,2015,3122541,0.93,0.0471760018523376,0.929,0.92
Kansas,2015,2910717,0.922,0.063853339228788,0.946,0.917
Kentucky,2015,4429126,0.884,0.726637941661628,0.915,0.866
Louisiana,2015,4666998,0.889,0.0798399742189733,0.946,0.917
Maine,2015,1329098,0.917,0.0712844350078023,0.915,0.866
Maryland,2015,5988528,0.936,0.0209891312188905,0.978,0.863
Massachusetts,2015,6797484,0.953,0.0246098409352637,0.975,0.905
Michigan,2015,9934483,0.912,0.0504224527839043,0.986,0.872
Minnesota,2015,5484002,0.947,0.0946834082117403,0.944,0.875
Mississippi,2015,2990231,0.866,0.0843988307257867,0.937,0.871
Missouri,2015,6075411,0.907,0.0962692071367682,0.978,0.863
Montana,2015,1031495,0.916,0.123805738273089,0.975,0.928
Nebraska,2015,1892059,0.933,0.0419331532473353,0.941,0.897
Nevada,2015,2868531,0.904,0.0444408653767381,0.97,0.916
New Hampshire,2015,1337480,0.942,0.102293866076502,0.983,0.918
New Jersey,2015,8870312,0.942,0.010150037563504,0.978,0.863
New Mexico,2015,2090071,0.902,0.0707688877554877,0.946,0.917
New York,2015,19657321,0.942,0.0176040265100214,0.948,0.888
North Carolina,2015,10037218,0.907,0.052990380402219,0.973,0.932
North Dakota,2015,755537,0.944,0.0918935803276345,0.975,0.928
Ohio,2015,11622315,0.914,0.0644021436348955,0.986,0.872
Oklahoma,2015,3910518,0.897,0.091874273433852,0.946,0.866
Oregon,2015,4018542,0.93,0.0687129809766826,0.978,0.863
Pennsylvania,2015,12789838,0.922,0.0776733059480503,0.986,0.872
Rhode Island,2015,1056886,0.925,0.0209379251877686,0.952,0.883
South Carolina,2015,4896006,0.893,0.0667885210924987,0.986,0.872
South Dakota,2015,854663,0.927,0.117318756047705,0.978,0.863
Tennessee,2015,6595354,0.895,0.0991898236243271,0.924,0.883
Texas,2015,27468531,0.912,0.0573116196130037,0.925,0.867
Utah,2015,2983626,0.93,0.0854041357730493,1.0,0.931
Vermont,2015,625810,0.935,0.0552691711541842,0.924,0.883
Virginia,2015,8367303,0.931,0.0553340783762701,0.986,0.872
Washington,2015,7167287,0.94,0.0700795154428726,0.978,0.863
West Virginia,2015,1843332,0.877,0.1350890669722,0.941,0.897
Wisconsin,2015,5762927,0.929,0.0665078700458985,0.966,0.933
Wyoming,2015,586389,0.935,0.106309975118906,0.978,0.863
Puerto Rico,2015,3473232,,0.0045755653523864,0.978,0.863
Alabama,2016,4866824,0.882,0.126765833323745,0.927,0.891
Alaska,2016,742575,0.935,0.118031175302158,0.978,0.863
Arizona,2016,6944767,0.909,0.0599413918422317,0.978,0.863
Arkansas,2016,2991815,0.882,0.0889139201454635,0.912,0.893
California,2016,39149186,0.932,0.0607207260963229,0.979,0.925
Colorado,2016,5543844,0.944,0.0974980536970377,0.978,0.863
Connecticut,2016,3579830,0.953,0.0887449962707726,0.973,0.932
Delaware,2016,949989,0.934,0.0625586190998001,0.973,0.932
District of Columbia,2016,687576,0.945,0.0012725865940637,0.975,0.928
Florida,2016,20627237,0.912,0.0695846952260257,0.978,0.863
Georgia,2016,10308442,0.906,0.0594643691064081,0.986,0.872
Hawaii,2016,1428885,0.941,0.0116741375268129,0.973,0.908
Idaho,2016,1684036,0.908,0.0928382766164144,0.924,0.883
Illinois,2016,12821709,0.93,0.150063458779169,0.924,0.883
Indiana,2016,6637898,0.908,0.216442765465815,0.955,0.898
Iowa,2016,3133210,0.931,0.0645590305150309,0.978,0.863
Kansas,2016,2912977,0.923,0.0674732412923274,0.978,0.863
Kentucky,2016,4440306,0.886,0.828061624581729,0.986,0.872
Louisiana,2016,4681346,0.889,0.0837086171370371,0.94,0.902
Maine,2016,1332348,0.918,0.0837483900602545,0.952,0.883
Maryland,2016,6007014,0.937,0.027528985282871,0.929,0.92
Massachusetts,2016,6827280,0.954,0.0331335465954231,0.978,0.863
Michigan,2016,9954117,0.914,0.0582276659999074,0.979,0.925
Minnesota,2016,5525360,0.949,0.117928786540605,0.966,0.903
Mississippi,2016,2990595,0.867,0.0923431624810447,0.986,0.872
Missouri,2016,6091384,0.909,0.103805473435922,0.94,0.902
Montana,2016,1042137,0.917,0.130824450144271,0.941,0.897
Nebraska,2016,1906483,0.935,0.0465060532928959,0.986,0.872
Nevada,2016,2919555,0.905,0.0506899167852635,0.986,0.872
New Hampshire,2016,1343694,0.944,0.122917866716678,0.945,0.888
New Jersey,2016,8873584,0.944,0.0137321064408699,0.927,0.891
New Mexico,2016,2092555,0.902,0.0770426583769602,0.927,0.891
New York,2016,19636391,0.943,0.0206133601637898,0.924,0.883
North Carolina,2016,10161802,0.908,0.0591868450103633,0.924,0.883
North Dakota,2016,756114,0.945,0.0952713479713377,0.978,0.863
Ohio,2016,11640060,0.915,0.0752336328163257,0.941,0.88
Oklahoma,2016,3928143,0.897,0.0928148491539132,0.986,0.872
Oregon,2016,4093271,0.932,0.0793272666285716,0.952,0.883
Pennsylvania,2016,12788468,0.924,0.0893946014487427,0.986,0.872
Rhode Island,2016,1057816,0.926,0.0262408585235996,0.946,0.888
South Carolina,2016,4963031,0.894,0.0811959465898964,1.0,0.908
South Dakota,2016,863693,0.928,0.129584238844126,0.978,0.863
Tennessee,2016,6651277,0.897,0.10746417567634,1.0,0.898
Texas,2016,27914064,0.913,0.0616795175363931,0.927,0.891
Utah,2016,3044241,0.931,0.0968737363434761,0.978,0.863
Vermont,2016,624366,0.936,0.0631312403301909,0.925,0.914
Virginia,2016,8417651,0.932,0.062769173965516,0.978,0.863
Washington,2016,7299961,0.942,0.0978081937698023,0.941,0.88
West Virginia,2016,1832435,0.878,0.132255714390961,0.973,0.932
Wisconsin,2016,5775170,0.93,0.0972818116176667,0.981,0.918
Wyoming,2016,585243,0.934,0.108662555553847,0.986,0.872
Puerto Rico,2016,3406672,,0.0046558635524641,0.918,0.872
Alabama,2017,4877989,0.884,0.0978569242366065,0.986,0.872
Alaska,2017,740983,0.936,0.109096969836015,0.955,0.909
Arizona,2017,7048088,0.911,0.0546148118468441,0.966,0.903
Arkansas,2017,3003855,0.884,0.0791080128701286,0.941,0.88
California,2017,39337785,0.934,0.0399135335149145,0.924,0.883
Colorado,2017,5617421,0.945,0.0884738743989457,0.979,0.925
Connecticut,2017,3575324,0.954,0.0508426648885528,0.978,0.863
Delaware,2017,957942,0.936,0.0528622818500494,0.895,0.857
District of Columbia,2017,697079,0.946,0.0022092187542588,0.964,0.911
Florida,2017,20977089,0.914,0.0608544398128835,0.927,0.891
Georgia,2017,10417031,0.907,0.0519970613507822,0.924,0.883
Hawaii,2017,1425763,0.943,0.0089369691877261,0.912,0.893
Idaho,2017,1719745,0.91,0.105887210022416,0.946,0.917
Illinois,2017,12779893,0.932,0.125281721842272,0.946,0.888
Indiana,2017,6662068,0.91,0.124639526345273,0.941,0.897
Iowa,2017,3143734,0.933,0.0512069405363176,0.94,0.902
Kansas,2017,2910892,0.925,0.0657705610513891,1.0,0.931
Kentucky,2017,4455590,0.888,1.0417206251024,0.978,0.863
Louisiana,2017,4673673,0.891,0.070437319855283,0.946,0.888
Maine,2017,1335743,0.92,0.0723118144732931,0.978,0.863
Maryland,2017,6028186,0.939,0.02631952630526,0.918,0.872
Massachusetts,2017,6863560,0.956,0.0300852618757613,0.918,0.872
Michigan,2017,9976752,0.916,0.0514438967712137,0.978,0.863
Minnesota,2017,5569283,0.95,0.122734650043821,0.937,0.871
