"","state","origin","etnia","2015","2016","2017","2018","2019"
"1","Alabama",0,1,6744686,6748212,6753054,6763284,6778792
"2","Alabama",0,2,2594626,2603270,2611234,2619148,2626582
"3","Alabama",0,3,66664,67220,67680,68562,69598
"4","Alabama",0,4,134282,138952,142490,144708,147430
"5","Alabama",0,5,9832,9832,9922,10096,10220
"6","Alabama",0,6,154604,159564,164592,169564,173748
"7","Alabama",1,1,6408482,6402008,6397868,6396700,6401656
"8","Alabama",1,2,2565794,2574024,2581472,2588670,2595550
"9","Alabama",1,3,53966,54148,54436,54826,55458
"10","Alabama",1,4,131130,135754,139318,141384,144092
"11","Alabama",1,5,4708,4758,4916,5054,5078
"12","Alabama",1,6,141246,145598,150142,154346,157980
"13","Alabama",2,1,336204,346204,355186,366584,377136
"14","Alabama",2,2,28832,29246,29762,30478,31032
"15","Alabama",2,3,12698,13072,13244,13736,14140
"16","Alabama",2,4,3152,3198,3172,3324,3338
"17","Alabama",2,5,5124,5074,5006,5042,5142
"18","Alabama",2,6,13358,13966,14450,15218,15768
"19","Alaska",0,1,981690,981516,972376,962478,954976
"20","Alaska",0,2,54038,55118,55478,55304,54216
"21","Alaska",0,3,224832,226524,227476,228012,227906
"22","Alaska",0,4,90508,93408,96070,95676,95598
"23","Alaska",0,5,18848,19696,20512,20626,20996
"24","Alaska",0,6,105080,106650,107488,108182,109398
"25","Alaska",1,1,910858,908794,898124,888108,880156
"26","Alaska",1,2,48366,49350,49678,49418,48380
"27","Alaska",1,3,213774,214746,215110,215694,215766
"28","Alaska",1,4,88034,90980,93690,93294,93212
"29","Alaska",1,5,17906,18716,19528,19624,20024
"30","Alaska",1,6,95210,96386,97044,97848,99128
"31","Alaska",2,1,70832,72722,74252,74370,74820
"32","Alaska",2,2,5672,5768,5800,5886,5836
"33","Alaska",2,3,11058,11778,12366,12318,12140
"34","Alaska",2,4,2474,2428,2380,2382,2386
"35","Alaska",2,5,942,980,984,1002,972
"36","Alaska",2,6,9870,10264,10444,10334,10270
"37","Arizona",0,1,11398870,11547244,11691116,11856820,12026884
