"","state","2015","2016","2017","2018","2019","2020"
"1","United States",320738994,323071755,325122128,326838199,328329953,329484123
"2","Northeast Region",56052790,56063777,56083383,56084543,56002934,55849869
"3","Midwest Region",67885682,68018175,68160342,68263019,68340091,68316744
"4","South Region",121049223,122419547,123611036,124649156,125686544,126662754
"5","West Region",75751299,76570256,77267367,77841481,78300384,78654756
"6","Alabama",4854803,4866824,4877989,4891628,4907965,4921532
"7","Alaska",738430,742575,740983,736624,733603,731158
"8","Arizona",6832810,6944767,7048088,7164228,7291843,7421401
"9","Arkansas",2979732,2991815,3003855,3012161,3020985,3030522
"10","California",38904296,39149186,39337785,39437463,39437610,39368078
"11","Colorado",5454328,5543844,5617421,5697155,5758486,5807719
"12","Connecticut",3588561,3579830,3575324,3574561,3566022,3557006
"13","Delaware",942065,949989,957942,966985,976668,986809
"14","District of Columbia",677014,687576,697079,704147,708253,712816
"15","Florida",20219111,20627237,20977089,21254926,21492056,21733312
"16","Georgia",10183353,10308442,10417031,10519389,10628020,10710017
"17","Hawaii",1422999,1428885,1425763,1423102,1415615,1407006
"18","Idaho",1652495,1684036,1719745,1752074,1789060,1826913
"19","Illinois",12859585,12821709,12779893,12724685,12667017,12587530
"20","Indiana",6611442,6637898,6662068,6698481,6731010,6754953
"21","Iowa",3122541,3133210,3143734,3149900,3159596,3163561
"22","Kansas",2910717,2912977,2910892,2912748,2912635,2913805
"23","Kentucky",4429126,4440306,4455590,4464273,4472345,4477251
"24","Louisiana",4666998,4681346,4673673,4664450,4658285,4645318
"25","Maine",1329098,1332348,1335743,1340123,1345770,1350141
"26","Maryland",5988528,6007014,6028186,6042153,6054954,6055802
"27","Massachusetts",6797484,6827280,6863560,6885720,6894883,6893574
"28","Michigan",9934483,9954117,9976752,9987286,9984795,9966555
"29","Minnesota",5484002,5525360,5569283,5608762,5640053,5657342
"30","Mississippi",2990231,2990595,2990674,2982879,2978227,2966786
"31","Missouri",6075411,6091384,6111382,6125986,6140475,6151548
"32","Montana",1031495,1042137,1053862,1061818,1070123,1080577
"33","Nebraska",1892059,1906483,1916998,1925512,1932571,1937552
"34","Nevada",2868531,2919555,2972097,3030725,3090771,3138259
"35","New Hampshire",1337480,1343694,1350395,1355064,1360783,1366275
"36","New Jersey",8870312,8873584,8888147,8891730,8891258,8882371
"37","New Mexico",2090071,2092555,2092844,2093754,2099634,2106319
"38","New York",19657321,19636391,19593849,19544098,19463131,19336776
"39","North Carolina",10037218,10161802,10275758,10391358,10501384,10600823
"40","North Dakota",755537,756114,756755,760062,763724,765309
"41","Ohio",11622315,11640060,11665706,11680892,11696507,11693217
"42","Oklahoma",3910518,3928143,3933602,3943488,3960676,3980783
"43","Oregon",4018542,4093271,4147294,4183538,4216116,4241507
"44","Pennsylvania",12789838,12788468,12794679,12809107,12798883,12783254
"45","Rhode Island",1056886,1057816,1056554,1059338,1058158,1057125
"46","South Carolina",4896006,4963031,5027102,5091702,5157702,5218040
"47","South Dakota",854663,863693,873732,879386,887127,892717
"48","Tennessee",6595354,6651277,6714748,6778180,6830325,6886834
"49","Texas",27468531,27914064,28291024,28624564,28986794,29360759
"50","Utah",2983626,3044241,3103540,3155153,3203383,3249879
"51","Vermont",625810,624366,625132,624802,624046,623347
"52","Virginia",8367303,8417651,8471011,8510920,8556642,8590563
"53","Washington",7167287,7299961,7427951,7526793,7614024,7693612
"54","West Virginia",1843332,1832435,1818683,1805953,1795263,1784787
"55","Wisconsin",5762927,5775170,5793147,5809319,5824581,5832655
"56","Wyoming",586389,585243,579994,579054,580116,582328
"57","Puerto Rico",3473232,3406672,3325284,3193344,3193553,3159343
